"filename", "language", "JavaScript", "JSON", "HTML", "Properties", "CSS", "comment", "blank", "total"
"d:\Documents\2-2\CSE216\Pushti\views\adminUpdatePrice.ejs", "HTML", 0, 0, 279, 0, 0, 1, 6, 286
"d:\Documents\2-2\CSE216\Pushti\views\adminUpdateTax.ejs", "HTML", 0, 0, 299, 0, 0, 1, 8, 308
"d:\Documents\2-2\CSE216\Pushti\views\agentBuyPage.ejs", "HTML", 0, 0, 416, 0, 0, 1, 18, 435
"d:\Documents\2-2\CSE216\Pushti\views\agentDashboard.ejs", "HTML", 0, 0, 255, 0, 0, 1, 6, 262
"d:\Documents\2-2\CSE216\Pushti\views\agentSellPage.ejs", "HTML", 0, 0, 408, 0, 0, 1, 17, 426
"d:\Documents\2-2\CSE216\Pushti\views\farmerDashboard.ejs", "HTML", 0, 0, 198, 0, 0, 1, 7, 206
"d:\Documents\2-2\CSE216\Pushti\views\farmerUpdateInfo.ejs", "HTML", 0, 0, 208, 0, 0, 1, 6, 215
"d:\Documents\2-2\CSE216\Pushti\views\inventoryStatus.ejs", "HTML", 0, 0, 141, 0, 0, 1, 5, 147
"d:\Documents\2-2\CSE216\Pushti\views\layout.ejs", "HTML", 0, 0, 32, 0, 0, 1, 1, 34
"d:\Documents\2-2\CSE216\Pushti\views\login.ejs", "HTML", 0, 0, 224, 0, 0, 2, 19, 245
"d:\Documents\2-2\CSE216\Pushti\views\register.ejs", "HTML", 0, 0, 657, 0, 0, 1, 37, 695
"d:\Documents\2-2\CSE216\Pushti\views\registerBuyer.ejs", "HTML", 0, 0, 422, 0, 0, 1, 19, 442
"d:\Documents\2-2\CSE216\Pushti\views\request.ejs", "HTML", 0, 0, 244, 0, 0, 1, 8, 253
"d:\Documents\2-2\CSE216\Pushti\views\sendFeedbackAgent.ejs", "HTML", 0, 0, 192, 0, 0, 1, 7, 200
"d:\Documents\2-2\CSE216\Pushti\views\sendFeedbackFarmer.ejs", "HTML", 0, 0, 170, 0, 0, 1, 7, 178
"d:\Documents\2-2\CSE216\Pushti\views\showAgentFeedback.ejs", "HTML", 0, 0, 209, 0, 0, 1, 6, 216
"d:\Documents\2-2\CSE216\Pushti\views\showBuyHistory.ejs", "HTML", 0, 0, 155, 0, 0, 1, 5, 161
"d:\Documents\2-2\CSE216\Pushti\views\showFarmerFeedback.ejs", "HTML", 0, 0, 210, 0, 0, 1, 6, 217
"d:\Documents\2-2\CSE216\Pushti\views\showFarmerTransactions.ejs", "HTML", 0, 0, 134, 0, 0, 1, 5, 140
"d:\Documents\2-2\CSE216\Pushti\views\showSellHistory.ejs", "HTML", 0, 0, 155, 0, 0, 1, 5, 161
"d:\Documents\2-2\CSE216\Pushti\views\temp.ejs", "HTML", 0, 0, 43, 0, 0, 1, 2, 46
"Total", "-", 3626, 3113, 7882, 4, 9527, 515, 2491, 27158
